YMD,STN_ID,LAT,LON,ALTD,TA_DAVG,TMX_DD,TMX_OCUR_TMA,TMN_DD,TMN_OCUR_TMA,MRNG_TMN,MRNG_TMN_OCUR_TMA,DYTM_TMX,DYTM_TMX_OCUR_TMA,NGHT_TMN,NGHT_TMN_OCUR_TMA
20250104,408,37.58463,127.06036,54.0,0.3,4.8,1421,-4.6,0756,-4.6,0756,4.8,1421,-1.4,0812
20250104,409,37.58551,127.08682,39.1,0.3,4.9,1505,-4.7,0803,-4.7,0803,4.9,1505,-1.3,0849
20250104,410,37.49330,126.91746,41.8,-1.2,5.1,1536,-6.2,0756,-6.2,0756,5.1,1536,-1.2,2147
20250104,411,37.55165,126.92915,100.7,-0.1,3.8,1427,-4.6,0543,-4.6,0543,3.8,1427,-1.0,0702
20250104,412,37.57047,126.94078,103.1,-1.1,4.2,1442,-6.4,0728,-6.4,0728,4.2,1442,-1.4,0636
20250104,413,37.53344,127.08601,29.9,0.3,5.0,1422,-4.0,0755,-4.0,0755,5.0,1422,-0.7,0812
20250104,414,37.61134,126.99981,128.6,-0.7,4.2,1446,-5.8,0724,-5.8,0724,4.2,1446,-1.8,0744
20250104,415,37.51955,126.97629,31.7,0.1,4.9,1446,-5.2,0808,-5.2,0808,4.9,1446,-0.7,2307
20250104,416,37.64647,126.94273,55.0,-3.5,4.5,1445,-10.5,0737,-10.5,0737,4.5,1445,-4.4,2301
20250104,417,37.46551,126.90016,45.0,0.5,5.1,1505,-3.9,0821,-3.9,0821,5.1,1505,0.1,0805
20250104,418,37.52489,126.93904,10.7,0.8,5.1,1528,-4.2,0717,-4.2,0717,5.1,1528,-0.3,0817
20250104,419,37.55236,126.98736,267.1,-1.5,3.5,1432,-5.8,0628,-5.8,0628,3.5,1432,-2.8,0742
20250104,421,37.54721,127.03885,34.7,0.6,4.8,1501,-3.7,0755,-3.7,0755,4.8,1501,-0.9,0753
20250104,423,37.49328,126.82629,56.1,-0.1,6.2,1308,-6.1,0757,-6.1,0757,6.2,1308,-1.7,0059
20250104,424,37.63801,127.00981,69.8,-1.7,4.1,1421,-7.1,0718,-7.1,0718,4.1,1421,-2.3,0113
20250104,425,37.46347,126.98154,113.0,-0.7,4.7,1444,-6.4,0652,-6.4,0652,4.7,1444,-1.9,2004
20250105,108,37.57142,126.96580,85.7,1.2,2.5,2353,-0.7,0109,-0.4,0849,1.9,1632,1.9,1801
20250105,400,37.49820,127.08162,12.7,1.5,2.9,2255,-0.8,0820,-0.8,0820,2.7,1733,1.8,0434
20250105,401,37.48462,127.02601,33.0,1.7,3.3,2312,-1.6,0120,-0.2,0900,3.2,1705,2.1,0512
20250105,402,37.55556,127.14498,55.3,0.7,2.0,1621,-1.5,0854,-1.5,0854,2.0,1621,0.9,0541
20250105,403,37.47426,127.12538,54.0,1.5,3.1,2223,-0.9,0838,-0.9,0838,2.9,1610,1.8,0333
20250105,404,37.57390,126.82953,9.3,2.2,3.5,2347,-99.9,0005,0.2,0704,3.3,1521,1.2,0626
20250105,405,37.52823,126.87937,22.8,2.2,3.4,2344,0.3,0829,0.3,0829,3.2,1524,2.3,0412
20250105,406,37.66557,127.03042,56.6,0.1,1.4,1520,-2.8,0148,-2.1,0301,1.4,1520,0.7,0751
20250105,407,37.62186,127.09192,25.3,-0.2,1.4,1558,-5.3,0142,-3.0,0301,1.4,1558,-0.1,0644
20250105,408,37.58463,127.06036,54.0,1.0,2.4,2241,-1.4,0812,-1.4,0812,1.9,1755,1.4,0421
20250105,409,37.58551,127.08682,39.1,1.2,2.8,2357,-1.3,0849,-1.3,0849,2.1,1800,1.5,0410
20250105,410,37.49330,126.91746,41.8,0.6,2.5,1449,-1.2,0839,-1.2,0839,2.5,1449,0.6,1803
20250105,411,37.55165,126.92915,100.7,1.2,2.6,2353,-1.0,0702,-1.0,0702,2.1,1416,1.4,0411
20250105,412,37.57047,126.94078,103.1,0.5,2.0,2330,-1.4,0636,-1.4,0636,1.3,1442,0.7,0425
20250105,413,37.53344,127.08601,29.9,1.3,2.8,2314,-0.7,0812,-0.7,0812,2.4,1719,1.7,0459
20250105,414,37.61134,126.99981,128.6,0.4,1.7,2357,-1.8,0744,-1.8,0744,1.0,1749,0.9,0623
20250105,415,37.51955,126.97629,31.7,1.4,2.5,2331,-0.6,0826,-0.6,0826,2.2,1514,2.0,1801
20250105,416,37.64647,126.94273,55.0,2.2,5.3,1504,-3.1,0027,-0.1,0652,5.3,1504,-99.9,0442
20250105,417,37.46551,126.90016,45.0,2.7,3.9,1754,0.1,0805,0.1,0805,3.9,1754,2.5,0455
20250105,418,37.52489,126.93904,10.7,2.1,3.3,2350,-0.3,0817,-0.3,0817,2.8,1743,2.5,0326
20250105,419,37.55236,126.98736,267.1,-0.6,1.0,2356,-2.8,0742,-2.8,0742,-0.3,1435,-0.4,1801
20250105,421,37.54721,127.03885,34.7,1.4,2.6,2333,-0.9,0753,-0.9,0753,2.0,1732,1.8,0601
20250105,423,37.49328,126.82629,56.1,2.0,3.5,1503,-1.7,0059,-99.9,0816,3.5,1503,1.2,0651
20250105,424,37.63801,127.00981,69.8,0.1,1.4,2045,-2.3,0113,-1.8,0657,1.1,1635,0.9,1848
20250105,425,37.46347,126.98154,113.0,1.8,3.3,1456,0.2,0804,0.2,0804,3.3,1456,0.5,0701
20250106,108,37.57142,126.96580,85.7,1.0,3.4,1323,-3.0,2336,2.2,0511,3.4,1323,-5.7,0800
20250106,400,37.49820,127.08162,12.7,1.4,4.8,1420,-2.1,2247,1.8,0434,4.8,1420,-4.0,0735
20250106,401,37.48462,127.02601,33.0,1.6,4.0,1326,-2.1,2247,2.1,0512,4.0,1326,-4.0,0743
20250106,402,37.55556,127.14498,55.3,1.0,4.1,1441,-2.7,2309,0.9,0541,4.1,1441,-4.9,0750
20250106,403,37.47426,127.12538,54.0,1.3,3.5,0050,-2.2,2256,1.8,0333,3.1,1434,-4.1,0714
20250106,404,37.57390,126.82953,9.3,1.2,4.8,1321,-2.3,2248,1.2,0626,4.8,1321,-4.5,0821
20250106,405,37.52823,126.87937,22.8,1.3,3.7,0213,-2.2,2357,2.3,0412,3.5,1302,-3.8,0727
20250106,406,37.66557,127.03042,56.6,0.3,4.2,1411,-4.0,2310,0.7,0751,4.2,1411,-7.2,0812
20250106,407,37.62186,127.09192,25.3,0.5,3.6,1422,-3.4,2319,-0.1,0644,3.6,1422,-9.6,0742
20250106,408,37.58463,127.06036,54.0,1.2,3.8,1201,-2.6,2330,1.4,0421,3.8,1201,-4.6,0734
20250106,409,37.58551,127.08682,39.1,1.3,3.7,1449,-2.4,2332,1.5,0410,3.7,1449,-4.2,0806
20250106,410,37.49330,126.91746,41.8,-0.4,2.8,1345,-4.6,2313,0.9,0356,2.8,1345,-6.6,0756
20250106,411,37.55165,126.92915,100.7,0.3,2.6,0152,-3.4,2248,1.4,0411,2.1,1259,-5.5,0733
20250106,412,37.57047,126.94078,103.1,-99.9,3.0,1320,-3.8,2312,0.7,0425,3.0,1320,-6.8,0817
20250106,413,37.53344,127.08601,29.9,1.5,4.1,1401,-2.2,2334,1.7,0459,4.1,1401,-4.1,0754
20250106,414,37.61134,126.99981,128.6,0.4,2.9,1354,-3.5,2309,0.9,0623,2.9,1354,-6.3,0732
20250106,415,37.51955,126.97629,31.7,1.3,3.4,1355,-2.2,2246,2.0,0624,3.4,1355,-3.2,0253
20250106,416,37.64647,126.94273,55.0,-0.5,2.9,1434,-5.9,2342,-99.9,0442,2.9,1434,-9.1,0820
20250106,417,37.46551,126.90016,45.0,1.3,3.7,0104,-2.2,2302,2.5,0455,3.4,1244,-4.0,0742
20250106,418,37.52489,126.93904,10.7,1.2,3.6,0225,-2.1,2306,2.5,0326,2.9,0915,-3.9,0736
20250106,419,37.55236,126.98736,267.1,-1.1,1.3,0139,-5.0,2340,0.4,0350,1.2,1339,-6.8,0704
20250106,421,37.54721,127.03885,34.7,1.2,3.7,1347,-2.3,2308,1.8,0601,3.7,1347,-4.2,0755
20250106,423,37.49328,126.82629,56.1,1.1,3.7,1403,-2.6,2358,1.2,0651,3.7,1403,-5.3,0754
20250106,424,37.63801,127.00981,69.8,0.4,2.6,0202,-3.4,2330,0.9,0736,2.6,1135,-7.1,0814
20250106,425,37.46347,126.98154,113.0,0.6,3.5,1241,-3.5,2309,0.5,0701,3.5,1241,-6.2,0803
20250107,108,37.57142,126.96580,85.7,-2.6,1.5,1437,-5.7,0800,-5.7,0800,1.5,1437,-4.9,0721
20250107,400,37.49820,127.08162,12.7,-1.9,1.7,1300,-4.0,0735,-4.0,0735,1.7,1300,-5.1,0716
20250107,401,37.48462,127.02601,33.0,-1.6,2.4,1335,-4.0,0743,-4.0,0743,2.4,1335,-5.0,0157
20250107,402,37.55556,127.14498,55.3,-2.0,1.5,1315,-4.9,0750,-4.9,0750,1.5,1315,-6.2,0727
20250107,403,37.47426,127.12538,54.0,-2.0,1.0,1341,-4.1,0714,-4.1,0714,1.0,1341,-4.6,0733
20250107,404,37.57390,126.82953,9.3,-2.0,2.6,1431,-4.5,0821,-4.5,0821,2.6,1431,-6.3,0708
20250107,405,37.52823,126.87937,22.8,-1.4,1.4,1459,-3.8,0727,-3.8,0727,1.4,1459,-3.4,0615
20250107,406,37.66557,127.03042,56.6,-3.3,1.5,1303,-7.2,0812,-7.2,0812,1.5,1303,-8.3,0726
20250107,407,37.62186,127.09192,25.3,-2.9,1.8,1343,-9.6,0742,-9.6,0742,1.8,1343,-11.0,0702
20250107,408,37.58463,127.06036,54.0,-1.9,1.1,1406,-4.6,0734,-4.6,0734,1.1,1406,-5.0,0523
20250107,409,37.58551,127.08682,39.1,-1.9,1.0,1353,-4.2,0806,-4.2,0806,1.0,1353,-4.8,0814
20250107,410,37.49330,126.91746,41.8,-3.9,-0.5,1258,-6.6,0756,-6.6,0756,-0.5,1258,-6.2,0712
20250107,411,37.55165,126.92915,100.7,-2.9,-0.1,1359,-5.5,0733,-5.5,0733,-0.1,1359,-4.4,0715
20250107,412,37.57047,126.94078,103.1,-3.2,1.1,1435,-6.8,0817,-6.8,0817,1.1,1435,-6.3,0725
20250107,413,37.53344,127.08601,29.9,-1.6,1.3,1455,-4.1,0754,-4.1,0754,1.3,1455,-4.6,0507
20250107,414,37.61134,126.99981,128.6,-3.0,-99.9,1341,-6.3,0732,-6.3,0732,-99.9,1341,-4.9,0427
20250107,415,37.51955,126.97629,31.7,-2.0,1.3,1334,-3.3,2354,-3.2,0301,1.3,1334,-4.3,0222
20250107,416,37.64647,126.94273,55.0,-4.6,0.6,1430,-9.1,0820,-9.1,0820,0.6,1430,-9.6,0552
20250107,417,37.46551,126.90016,45.0,-1.7,1.3,1550,-4.0,0742,-4.0,0742,1.3,1550,-3.1,0148
20250107,418,37.52489,126.93904,10.7,-1.8,1.4,1526,-3.9,0736,-3.9,0736,1.4,1526,-3.8,0700
20250107,419,37.55236,126.98736,267.1,-4.3,-1.2,1403,-6.8,0704,-6.8,0704,-1.2,1403,-5.3,0601
20250107,421,37.54721,127.03885,34.7,-1.8,1.1,1417,-4.2,0755,-4.2,0755,1.1,1417,-3.8,0804
20250107,423,37.49328,126.82629,56.1,-1.8,1.7,1239,-5.3,0754,-5.3,0754,1.7,1239,-5.9,0713
20250107,424,37.63801,127.00981,69.8,-3.2,0.4,1517,-7.1,0814,-7.1,0814,0.4,1517,-7.3,0756
20250107,425,37.46347,126.98154,113.0,-2.7,0.9,1254,-6.2,0803,-6.2,0803,0.9,1254,-6.2,0646
20250108,108,37.57142,126.96580,85.7,-3.4,0.2,1452,-6.1,2344,-4.9,0721,0.2,1452,-10.2,0808
20250108,400,37.49820,127.08162,12.7,-2.8,1.4,1513,-5.7,2354,-5.1,0716,1.4,1513,-9.7,0756
20250108,401,37.48462,127.02601,33.0,-2.5,1.0,1310,-5.8,2359,-4.4,0301,1.0,1310,-9.7,0802
20250108,402,37.55556,127.14498,55.3,-3.4,1.3,1509,-6.2,0727,-6.2,0727,1.3,1509,-10.0,0804
20250108,403,37.47426,127.12538,54.0,-2.9,0.7,1513,-5.9,2356,-4.6,0733,0.7,1513,-9.8,0747
20250108,404,37.57390,126.82953,9.3,-3.1,1.8,1444,-6.3,0708,-6.3,0708,1.8,1444,-9.8,0809
20250108,405,37.52823,126.87937,22.8,-2.5,0.9,1310,-5.8,2357,-3.4,0615,0.9,1310,-9.7,0807
20250108,406,37.66557,127.03042,56.6,-4.5,1.0,1453,-8.3,0726,-8.3,0726,1.0,1453,-10.8,0759
20250108,407,37.62186,127.09192,25.3,-4.8,0.8,1207,-11.0,0702,-11.0,0702,0.8,1207,-10.1,0742
20250108,408,37.58463,127.06036,54.0,-2.9,0.7,1149,-6.7,2347,-5.0,0523,0.7,1149,-10.3,0813
20250108,409,37.58551,127.08682,39.1,-3.0,0.4,1621,-6.3,2348,-4.8,0814,0.4,1621,-10.1,0843
20250108,410,37.49330,126.91746,41.8,-4.8,-0.5,1320,-8.3,2349,-6.2,0712,-0.5,1320,-12.6,0755
20250108,411,37.55165,126.92915,100.7,-3.5,-0.3,1412,-6.8,2337,-4.4,0715,-0.3,1412,-10.9,0739
20250108,412,37.57047,126.94078,103.1,-4.1,-0.2,1313,-7.1,2359,-6.3,0725,-0.2,1313,-11.3,0837
20250108,413,37.53344,127.08601,29.9,-2.9,0.6,1311,-6.2,2354,-4.6,0507,0.6,1311,-9.9,0840
20250108,414,37.61134,126.99981,128.6,-3.8,-0.4,1608,-7.4,0000,-4.9,0427,-0.4,1608,-11.3,0748
20250108,415,37.51955,126.97629,31.7,-2.7,0.9,1519,-6.1,2348,-3.8,0301,0.9,1519,-10.3,0843
20250108,416,37.64647,126.94273,55.0,-5.3,-0.2,1524,-9.6,0552,-9.6,0552,-0.2,1524,-12.4,0835
20250108,417,37.46551,126.90016,45.0,-2.7,0.5,1521,-6.2,2343,-3.0,0638,0.5,1521,-10.1,0821
20250108,418,37.52489,126.93904,10.7,-2.6,0.6,1521,-5.9,2345,-3.8,0700,0.6,1521,-10.1,0747
20250108,419,37.55236,126.98736,267.1,-5.0,-1.3,1415,-8.7,2343,-5.3,0601,-1.3,1415,-12.9,0822
20250108,421,37.54721,127.03885,34.7,-2.6,0.6,1400,-6.3,2343,-3.8,0804,0.6,1400,-10.0,0838
20250108,423,37.49328,126.82629,56.1,-3.4,1.2,1318,-6.3,2348,-5.9,0713,1.2,1318,-10.3,0800
20250108,424,37.63801,127.00981,69.8,-4.4,-0.6,1436,-7.3,0756,-7.3,0756,-0.6,1436,-10.9,0812
20250108,425,37.46347,126.98154,113.0,-3.5,0.4,1255,-6.6,2357,-6.2,0646,0.4,1255,-10.4,0741
20250109,108,37.57142,126.96580,85.7,-9.7,-6.1,0001,-11.6,2322,-10.2,0808,-7.6,1213,-12.2,0721
20250109,400,37.49820,127.08162,12.7,-9.1,-5.6,0014,-10.6,1946,-9.7,0756,-7.1,1213,-11.2,0750
20250109,401,37.48462,127.02601,33.0,-9.1,-5.7,0008,-10.5,2023,-9.7,0802,-6.6,1145,-10.7,0509
20250109,402,37.55556,127.14498,55.3,-9.0,-6.0,0001,-10.9,2154,-10.0,0804,-6.2,1353,-12.4,0644
20250109,403,37.47426,127.12538,54.0,-9.2,-5.9,0001,-10.6,1906,-9.8,0747,-7.7,1205,-11.5,0238
20250109,404,37.57390,126.82953,9.3,-9.0,-6.0,0001,-10.5,2152,-9.8,0809,-7.1,1213,-11.9,0633
20250109,405,37.52823,126.87937,22.8,-9.0,-5.7,0001,-10.3,1930,-9.7,0807,-6.6,1324,-10.8,0618
20250109,406,37.66557,127.03042,56.6,-10.2,-6.9,0001,-13.2,2354,-10.8,0759,-7.0,1402,-14.5,0607
20250109,407,37.62186,127.09192,25.3,-9.9,-6.2,0001,-14.1,2349,-10.1,0742,-7.4,1343,-16.4,0556
20250109,408,37.58463,127.06036,54.0,-9.6,-6.1,0006,-11.0,1916,-10.3,0813,-7.6,1331,-11.7,0635
20250109,409,37.58551,127.08682,39.1,-9.3,-6.0,0005,-10.7,2010,-10.1,0843,-7.8,1314,-11.7,0538
20250109,410,37.49330,126.91746,41.8,-11.9,-8.3,0001,-13.5,2032,-12.6,0755,-9.1,1411,-13.8,0637
20250109,411,37.55165,126.92915,100.7,-10.4,-6.7,0001,-11.8,2019,-10.9,0739,-8.9,1243,-12.4,0633
20250109,412,37.57047,126.94078,103.1,-10.6,-7.1,0001,-13.4,2335,-11.3,0837,-7.9,1227,-13.9,0631
20250109,413,37.53344,127.08601,29.9,-9.3,-5.9,0009,-10.7,2138,-9.9,0840,-7.5,1320,-11.5,0720
20250109,414,37.61134,126.99981,128.6,-10.4,-7.5,0001,-12.4,2142,-11.3,0748,-8.5,1206,-13.1,0046
20250109,415,37.51955,126.97629,31.7,-99.9,-99.9,0000,-99.9,0000,-10.3,0843,-8.5,1032,-99.9,0000
20250109,416,37.64647,126.94273,55.0,-11.2,-7.4,0001,-15.5,2321,-12.4,0835,-7.8,1408,-16.6,0704
